t,cwnd,wmax,k,t_lastloss
1.0,10.726070229193617,4.169775457701303,30.0,0.0
2.0,12.142047649783136,4.169775457701303,30.0,0.0
3.0,13.560068434019106,4.169775457701303,30.0,0.0
4.0,14.772302297204318,4.169775457701303,30.0,0.0
5.0,15.81862519709315,4.169775457701303,30.0,0.0
6.0,16.870149705072112,4.169775457701303,30.0,0.0
7.0,18.18596987610838,4.169775457701303,30.0,0.0
8.0,20.0715298949283,4.169775457701303,30.0,0.0
9.0,22.812038041295544,4.169775457701303,30.0,0.0
10.0,26.602108673731472,4.169775457701303,30.0,0.0
11.0,31.52108926004149,4.169775457701303,30.0,0.0
12.0,37.56513501530088,4.169775457701303,30.0,0.0
13.0,44.69520466603125,4.169775457701303,30.0,0.0
14.0,52.86779656237675,4.169775457701303,30.0,0.0
15.0,62.0465283051192,4.169775457701303,30.0,0.0
16.0,72.20389558679332,4.169775457701303,30.0,0.0
17.0,83.31982399286704,4.169775457701303,30.0,0.0
18.0,95.37975428364742,4.169775457701303,30.0,0.0
19.0,108.37305407489042,4.169775457701303,30.0,0.0
20.0,122.29185885462519,4.169775457701303,30.0,0.0
21.0,137.13026327164945,4.169775457701303,30.0,0.0
22.0,152.88376378905105,4.169775457701303,30.0,0.0
23.0,169.54887372528168,4.169775457701303,30.0,0.0
24.0,187.1228549180305,4.169775457701303,30.0,0.0
25.0,205.60352834699398,4.169775457701303,30.0,0.0
26.0,224.98913863433125,4.169775457701303,30.0,0.0
27.0,245.2782557241098,4.169775457701303,30.0,0.0
28.0,266.46970254795707,4.169775457701303,30.0,0.0
29.0,288.5625010974452,4.169775457701303,30.0,0.0
30.0,311.55583170896455,4.169775457701303,30.0,0.0
31.0,335.4490019562163,4.169775457701303,30.0,0.0
32.0,360.2414226164024,4.169775457701303,30.0,32.0
33.0,17.260702291936177,4.169775457701303,30.0,32.0
34.0,17.762028428445447,4.169775457701303,30.0,32.0
35.0,18.414977228670327,4.169775457701303,30.0,35.0
36.0,17.260702291936177,4.169775457701303,30.0,35.0
37.0,17.762028428445447,4.169775457701303,30.0,35.0
38.0,18.414977228670327,4.169775457701303,30.0,35.0
39.0,19.043979654486087,4.169775457701303,30.0,35.0
40.0,19.6313002158021,4.169775457701303,30.0,35.0
41.0,20.284389767570445,4.169775457701303,30.0,35.0
42.0,21.210414332424136,4.169775457701303,30.0,35.0
43.0,22.68451534504515,4.169775457701303,30.0,35.0
44.0,24.994161592278363,4.169775457701303,30.0,35.0
45.0,28.366033522616647,4.169775457701303,30.0,35.0
46.0,32.91694583713474,4.169775457701303,30.0,35.0
47.0,38.662285945598306,4.169775457701303,30.0,35.0
48.0,45.56164204014545,4.169775457701303,30.0,35.0
49.0,53.559800441985026,4.169775457701303,30.0,35.0
50.0,62.607020831112564,4.169775457701303,30.0,35.0
51.0,72.66450121690625,4.169775457701303,30.0,35.0
52.0,83.70362919437419,4.169775457701303,30.0,35.0
53.0,95.70367595053168,4.169775457701303,30.0,35.0
54.0,108.64961357988726,4.169775457701303,30.0,54.0
55.0,17.260702291936177,4.169775457701303,30.0,54.0
56.0,17.762028428445447,4.169775457701303,30.0,54.0
57.0,18.414977228670327,4.169775457701303,30.0,54.0
58.0,19.043979654486087,4.169775457701303,30.0,54.0
59.0,19.6313002158021,4.169775457701303,30.0,54.0
60.0,20.284389767570445,4.169775457701303,30.0,54.0
61.0,21.210414332424136,4.169775457701303,30.0,61.0
62.0,17.260702291936177,4.169775457701303,30.0,61.0
63.0,17.762028428445447,4.169775457701303,30.0,61.0
64.0,18.414977228670327,4.169775457701303,30.0,61.0
65.0,19.043979654486087,4.169775457701303,30.0,61.0
66.0,19.6313002158021,4.169775457701303,30.0,61.0
67.0,20.284389767570445,4.169775457701303,30.0,61.0
68.0,21.210414332424136,4.169775457701303,30.0,61.0
69.0,22.68451534504515,4.169775457701303,30.0,61.0
70.0,24.994161592278363,4.169775457701303,30.0,61.0
71.0,28.366033522616647,4.169775457701303,30.0,61.0
72.0,32.91694583713474,4.169775457701303,30.0,61.0
73.0,38.662285945598306,4.169775457701303,30.0,61.0
74.0,45.56164204014545,4.169775457701303,30.0,61.0
75.0,53.559800441985026,4.169775457701303,30.0,61.0
76.0,62.607020831112564,4.169775457701303,30.0,61.0
77.0,72.66450121690625,4.169775457701303,30.0,61.0
78.0,83.70362919437419,4.169775457701303,30.0,61.0
79.0,95.70367595053168,4.169775457701303,30.0,61.0
80.0,108.64961357988726,4.169775457701303,30.0,61.0
81.0,122.53044365240419,4.169775457701303,30.0,61.0
82.0,137.3380083662303,4.169775457701303,30.0,61.0
83.0,153.06616660882426,4.169775457701303,30.0,61.0
84.0,169.71022574110938,4.169775457701303,30.0,61.0
85.0,187.2665477191921,4.169775457701303,30.0,61.0
86.0,205.7322732967234,4.169775457701303,30.0,61.0
87.0,225.1051264977291,4.169775457701303,30.0,61.0
88.0,245.38327413850715,4.169775457701303,30.0,61.0
89.0,266.5652235319904,4.169775457701303,30.0,61.0
90.0,288.6497470078875,4.169775457701303,30.0,61.0
91.0,311.63582550851663,4.169775457701303,30.0,61.0
92.0,335.5226059279374,4.169775457701303,30.0,61.0
93.0,360.30936847577175,4.169775457701303,30.0,93.0
94.0,17.260702291936177,4.169775457701303,30.0,93.0
95.0,17.762028428445447,4.169775457701303,30.0,93.0
96.0,18.414977228670327,4.169775457701303,30.0,93.0
97.0,19.043979654486087,4.169775457701303,30.0,93.0
98.0,19.6313002158021,4.169775457701303,30.0,93.0
99.0,20.284389767570445,4.169775457701303,30.0,93.0
100.0,21.210414332424136,4.169775457701303,30.0,93.0
101.0,22.68451534504515,4.169775457701303,30.0,93.0
102.0,24.994161592278363,4.169775457701303,30.0,93.0
103.0,28.366033522616647,4.169775457701303,30.0,93.0
104.0,32.91694583713474,4.169775457701303,30.0,93.0
105.0,38.662285945598306,4.169775457701303,30.0,93.0
106.0,45.56164204014545,4.169775457701303,30.0,93.0
107.0,53.559800441985026,4.169775457701303,30.0,93.0
108.0,62.607020831112564,4.169775457701303,30.0,93.0
109.0,72.66450121690625,4.169775457701303,30.0,93.0
110.0,83.70362919437419,4.169775457701303,30.0,93.0
111.0,95.70367595053168,4.169775457701303,30.0,93.0
112.0,108.64961357988726,4.169775457701303,30.0,93.0
113.0,122.53044365240419,4.169775457701303,30.0,93.0
114.0,137.3380083662303,4.169775457701303,30.0,114.0
115.0,17.260702291936177,4.169775457701303,30.0,114.0
116.0,17.762028428445447,4.169775457701303,30.0,116.0
117.0,17.260702291936177,4.169775457701303,30.0,116.0
118.0,17.762028428445447,4.169775457701303,30.0,116.0
119.0,18.414977228670327,4.169775457701303,30.0,116.0
120.0,19.043979654486087,4.169775457701303,30.0,116.0
121.0,19.6313002158021,4.169775457701303,30.0,116.0
122.0,20.284389767570445,4.169775457701303,30.0,116.0
123.0,21.210414332424136,4.169775457701303,30.0,116.0
124.0,22.68451534504515,4.169775457701303,30.0,116.0
125.0,24.994161592278363,4.169775457701303,30.0,116.0
126.0,28.366033522616647,4.169775457701303,30.0,116.0
127.0,32.91694583713474,4.169775457701303,30.0,116.0
128.0,38.662285945598306,4.169775457701303,30.0,116.0
129.0,45.56164204014545,4.169775457701303,30.0,116.0
130.0,53.559800441985026,4.169775457701303,30.0,116.0
131.0,62.607020831112564,4.169775457701303,30.0,116.0
132.0,72.66450121690625,4.169775457701303,30.0,116.0
133.0,83.70362919437419,4.169775457701303,30.0,116.0
134.0,95.70367595053168,4.169775457701303,30.0,134.0
135.0,17.260702291936177,4.169775457701303,30.0,134.0
136.0,17.762028428445447,4.169775457701303,30.0,134.0
137.0,18.414977228670327,4.169775457701303,30.0,134.0
138.0,19.043979654486087,4.169775457701303,30.0,134.0
139.0,19.6313002158021,4.169775457701303,30.0,134.0
140.0,20.284389767570445,4.169775457701303,30.0,134.0
141.0,21.210414332424136,4.169775457701303,30.0,134.0
142.0,22.68451534504515,4.169775457701303,30.0,134.0
143.0,24.994161592278363,4.169775457701303,30.0,134.0
144.0,28.366033522616647,4.169775457701303,30.0,134.0
145.0,32.91694583713474,4.169775457701303,30.0,145.0
146.0,17.260702291936177,4.169775457701303,30.0,145.0
147.0,17.762028428445447,4.169775457701303,30.0,145.0
148.0,18.414977228670327,4.169775457701303,30.0,145.0
149.0,19.043979654486087,4.169775457701303,30.0,145.0
150.0,19.6313002158021,4.169775457701303,30.0,145.0
151.0,20.284389767570445,4.169775457701303,30.0,145.0
152.0,21.210414332424136,4.169775457701303,30.0,145.0
153.0,22.68451534504515,4.169775457701303,30.0,145.0
154.0,24.994161592278363,4.169775457701303,30.0,145.0
155.0,28.366033522616647,4.169775457701303,30.0,145.0
156.0,32.91694583713474,4.169775457701303,30.0,145.0
157.0,38.662285945598306,4.169775457701303,30.0,145.0
158.0,45.56164204014545,4.169775457701303,30.0,145.0
159.0,53.559800441985026,4.169775457701303,30.0,145.0
160.0,62.607020831112564,4.169775457701303,30.0,145.0
161.0,72.66450121690625,4.169775457701303,30.0,145.0
162.0,83.70362919437419,4.169775457701303,30.0,145.0
163.0,95.70367595053168,4.169775457701303,30.0,145.0
164.0,108.64961357988726,4.169775457701303,30.0,145.0
165.0,122.53044365240419,4.169775457701303,30.0,145.0
166.0,137.3380083662303,4.169775457701303,30.0,145.0
167.0,153.06616660882426,4.169775457701303,30.0,145.0
168.0,169.71022574110938,4.169775457701303,30.0,145.0
169.0,187.2665477191921,4.169775457701303,30.0,145.0
170.0,205.7322732967234,4.169775457701303,30.0,145.0
171.0,225.1051264977291,4.169775457701303,30.0,145.0
172.0,245.38327413850715,4.169775457701303,30.0,145.0
173.0,266.5652235319904,4.169775457701303,30.0,145.0
174.0,288.6497470078875,4.169775457701303,30.0,145.0
175.0,311.63582550851663,4.169775457701303,30.0,145.0
176.0,335.5226059279374,4.169775457701303,30.0,176.0
177.0,17.260702291936177,4.169775457701303,30.0,176.0
178.0,17.762028428445447,4.169775457701303,30.0,176.0
179.0,18.414977228670327,4.169775457701303,30.0,176.0
180.0,19.043979654486087,4.169775457701303,30.0,176.0
181.0,19.6313002158021,4.169775457701303,30.0,176.0
182.0,20.284389767570445,4.169775457701303,30.0,176.0
183.0,21.210414332424136,4.169775457701303,30.0,176.0
184.0,22.68451534504515,4.169775457701303,30.0,176.0
185.0,24.994161592278363,4.169775457701303,30.0,176.0
186.0,28.366033522616647,4.169775457701303,30.0,176.0
187.0,32.91694583713474,4.169775457701303,30.0,176.0
