round,cwnd,wmax,wmin
1.0,10.5,30.0,5.0
2.0,10.976190476190476,30.0,5.0
3.0,11.431721929552733,30.0,5.0
4.0,11.869101357674952,30.0,5.0
5.0,12.29036324173215,30.0,5.0
6.0,12.69718604278838,30.0,5.0
7.0,13.09097408237057,30.0,5.0
8.0,13.47291663061329,30.0,5.0
9.0,13.84403152259139,30.0,5.0
10.0,14.20519799291044,30.0,5.0
11.0,14.55718182323054,30.0,5.0
12.0,14.900654897944833,30.0,5.0
13.0,15.236210619102405,30.0,5.0
14.0,15.564376206005702,30.0,5.0
15.0,15.885622617286272,30.0,5.0
16.0,16.200372634988387,30.0,5.0
17.0,14.44538157214976,15.477194541589029,5.0
18.0,14.514607850113089,15.477194541589029,5.0
19.0,14.583503958800739,15.477194541589029,5.0
20.0,14.652074585093642,15.477194541589029,5.0
21.0,14.720324305922755,15.477194541589029,5.0
22.0,14.788257591848911,15.477194541589029,5.0
23.0,14.855878810494113,15.477194541589029,5.0
24.0,14.923192229831757,15.477194541589029,5.0
25.0,14.990202021342784,15.477194541589029,5.0
26.0,15.056912263044412,15.477194541589029,5.0
27.0,15.123326942397654,15.477194541589029,5.0
28.0,15.189449959099523,15.477194541589029,5.0
29.0,15.255285127765452,15.477194541589029,5.0
30.0,15.320836180507163,15.477194541589029,5.0
31.0,15.38610676941094,15.477194541589029,5.0
32.0,15.451100468920949,15.477194541589029,5.0
33.0,15.515820778132026,15.477194541589029,5.0
34.0,15.580271122996114,15.477194541589029,5.0
35.0,15.644454858446265,15.477194541589029,5.0
36.0,15.708375270441964,15.477194541589029,5.0
37.0,15.772035577939308,15.477194541589029,5.0
38.0,15.835438934789373,15.477194541589029,5.0
39.0,15.89858843156796,15.477194541589029,5.0
40.0,15.961487097339722,15.477194541589029,5.0
41.0,16.024137901359524,15.477194541589029,5.0
42.0,16.08654375471374,15.477194541589029,5.0
43.0,16.148707511904092,15.477194541589029,5.0
44.0,16.210631972376415,15.477194541589029,5.0
45.0,16.272319881996722,15.477194541589029,5.0
46.0,16.33377393447675,15.477194541589029,5.0
47.0,16.39499677275108,15.477194541589029,5.0
48.0,16.455990990307868,15.477194541589029,5.0
49.0,16.516759132474995,15.477194541589029,5.0
50.0,16.57969911861562,15.477194541589029,5.0
51.0,16.646196379460882,15.477194541589029,5.0
52.0,16.71642274296301,15.477194541589029,5.0
53.0,16.790555122864426,15.477194541589029,5.0
54.0,16.868775322951016,15.477194541589029,5.0
55.0,16.95126979897078,15.477194541589029,5.0
56.0,17.03822937632771,15.477194541589029,5.0
57.0,17.12984892201287,15.477194541589029,5.0
58.0,17.226326969656363,15.477194541589029,5.0
59.0,17.327865297075107,15.477194541589029,5.0
60.0,17.434668456250083,15.477194541589029,5.0
61.0,17.546943256288472,15.477194541589029,5.0
62.0,17.664898200603783,15.477194541589029,5.0
63.0,17.788742880271396,15.477194541589029,5.0
64.0,17.91868732627528,15.477194541589029,5.0
65.0,18.054941324139627,15.477194541589029,5.0
66.0,18.197713695219235,15.477194541589029,5.0
67.0,18.347211549685696,15.477194541589029,5.0
68.0,18.50363951697241,15.477194541589029,5.0
69.0,18.667198960108305,15.477194541589029,5.0
70.0,18.83808718095688,15.477194541589029,5.0
71.0,19.01649662386281,15.477194541589029,5.0
72.0,19.202614085574055,15.477194541589029,5.0
73.0,19.396619939536603,15.477194541589029,5.0
74.0,19.598687382738834,15.477194541589029,5.0
75.0,19.808981713204034,15.477194541589029,5.0
76.0,20.027659645988816,15.477194541589029,5.0
77.0,17.72301009075031,20.25486867514321,5.0
78.0,17.794438662178884,20.25486867514321,5.0
79.0,17.863573464902217,20.25486867514321,5.0
80.0,17.930505627577823,20.25486867514321,5.0
81.0,17.995321508843055,20.25486867514321,5.0
82.0,18.05810302583873,20.25486867514321,5.0
83.0,18.11892795429775,20.25486867514321,5.0
84.0,18.17787020315025,20.25486867514321,5.0
85.0,18.235000066241497,20.25486867514321,5.0
86.0,18.290384453451924,20.25486867514321,5.0
87.0,18.345057989841766,20.25486867514321,5.0
88.0,18.399568583406186,20.25486867514321,5.0
89.0,18.45391768379226,20.25486867514321,5.0
90.0,18.508106719266188,20.25486867514321,5.0
91.0,18.562137097152384,20.25486867514321,5.0
92.0,18.616010204261016,20.25486867514321,5.0
93.0,18.6697274073044,20.25486867514321,5.0
94.0,18.72329005330258,20.25486867514321,5.0
95.0,18.77669946997845,20.25486867514321,5.0
96.0,18.829956966142717,20.25486867514321,5.0
97.0,18.883063832069073,20.25486867514321,5.0
98.0,18.93602133985982,20.25486867514321,5.0
99.0,18.988830743802296,20.25486867514321,5.0
100.0,19.041493280716338,20.25486867514321,5.0
101.0,19.0940101702931,20.25486867514321,5.0
102.0,19.146382615425438,20.25486867514321,5.0
103.0,19.198611802530177,20.25486867514321,5.0
104.0,19.250698901862442,20.25486867514321,5.0
105.0,19.302645067822333,20.25486867514321,5.0
106.0,19.35445143925414,20.25486867514321,5.0
107.0,19.406119139738372,20.25486867514321,5.0
108.0,19.457649277876722,20.25486867514321,5.0
109.0,19.509042947570265,20.25486867514321,5.0
110.0,19.560301228291028,20.25486867514321,5.0
111.0,19.61142518534715,20.25486867514321,5.0
112.0,19.662415870141807,20.25486867514321,5.0
113.0,19.713274320426063,20.25486867514321,5.0
114.0,19.764001560545875,20.25486867514321,5.0
115.0,19.814598601683347,20.25486867514321,5.0
116.0,19.86506644209244,20.25486867514321,5.0
117.0,17.42598030891313,18.67069318812121,5.0
118.0,17.48336588965366,18.67069318812121,5.0
119.0,17.540563113935956,18.67069318812121,5.0
120.0,17.597573826391677,18.67069318812121,5.0
121.0,17.65439984172001,18.67069318812121,5.0
122.0,17.711042945363605,18.67069318812121,5.0
123.0,17.767504894164976,18.67069318812121,5.0
124.0,17.823787417004095,18.67069318812121,5.0
125.0,17.879892215417815,18.67069318812121,5.0
126.0,17.935820964201753,18.67069318812121,5.0
127.0,17.99157531199525,18.67069318812121,5.0
128.0,18.04715688184996,18.67069318812121,5.0
129.0,18.102567271782664,18.67069318812121,5.0
130.0,18.157808055312785,18.67069318812121,5.0
131.0,18.212880781985177,18.67069318812121,5.0
132.0,18.267786977878643,18.67069318812121,5.0
133.0,18.32252814610066,18.67069318812121,5.0
134.0,18.377105767268773,18.67069318812121,5.0
135.0,18.431521299979103,18.67069318812121,5.0
136.0,18.48577618126235,18.67069318812121,5.0
137.0,18.539871827027746,18.67069318812121,5.0
138.0,18.593809632495322,18.67069318812121,5.0
139.0,18.64759097261684,18.67069318812121,5.0
140.0,16.36356505217508,18.701217202485804,5.0
141.0,16.434993623603653,18.701217202485804,5.0
142.0,16.50393869382344,18.701217202485804,5.0
143.0,16.57050700062055,18.701217202485804,5.0
144.0,16.63479924592679,18.701217202485804,5.0
145.0,16.696910544236115,18.701217202485804,5.0
146.0,16.75693082921457,18.701217202485804,5.0
147.0,16.816607628635175,18.701217202485804,5.0
148.0,16.87607265404834,18.701217202485804,5.0
149.0,16.93532814675091,18.701217202485804,5.0
150.0,16.994376308754894,18.701217202485804,5.0
151.0,17.053219303745234,18.701217202485804,5.0
152.0,17.111859258007733,18.701217202485804,5.0
153.0,17.170298261328313,18.701217202485804,5.0
154.0,17.228538367864623,18.701217202485804,5.0
155.0,17.286581596991084,18.701217202485804,5.0
156.0,17.344429934118306,18.701217202485804,5.0
157.0,17.40208533148786,18.701217202485804,5.0
158.0,17.45954970894328,18.701217202485804,5.0
159.0,17.516824954678153,18.701217202485804,5.0
160.0,17.57391292596218,18.701217202485804,5.0
161.0,17.6308154498459,18.701217202485804,5.0
162.0,17.687534323844933,18.701217202485804,5.0
163.0,17.744071316604398,18.701217202485804,5.0
164.0,17.800428168544247,18.701217202485804,5.0
165.0,17.85660659248616,18.701217202485804,5.0
