round,cwnd,wmax,wmin
1.0,10.5,30.0,5.0
2.0,10.976190476190476,30.0,5.0
3.0,11.431721929552733,30.0,5.0
4.0,11.869101357674952,30.0,5.0
5.0,12.29036324173215,30.0,5.0
6.0,12.69718604278838,30.0,5.0
7.0,13.09097408237057,30.0,5.0
8.0,13.47291663061329,30.0,5.0
9.0,13.84403152259139,30.0,5.0
10.0,14.20519799291044,30.0,5.0
11.0,12.737534095326723,13.647357959278631,5.0
12.0,12.816042226689989,13.647357959278631,5.0
13.0,12.89406943527061,13.647357959278631,5.0
14.0,12.971624469778536,13.647357959278631,5.0
15.0,13.048715816535438,13.647357959278631,5.0
16.0,13.125351710370508,13.647357959278631,5.0
17.0,13.20154014494098,13.647357959278631,5.0
18.0,13.277288882514089,13.647357959278631,5.0
19.0,13.352605463244435,13.647357959278631,5.0
20.0,13.42749721397823,13.647357959278631,5.0
21.0,13.50197125661359,13.647357959278631,5.0
22.0,13.576034516043963,13.647357959278631,5.0
23.0,13.649693727709801,13.647357959278631,5.0
24.0,13.72295544478188,13.647357959278631,5.0
25.0,13.795826044997975,13.647357959278631,5.0
26.0,13.868311737173151,13.647357959278631,5.0
27.0,13.940418567402498,13.647357959278631,5.0
28.0,14.012152424973916,13.647357959278631,5.0
29.0,14.083519048007341,13.647357959278631,5.0
30.0,14.154524028835729,13.647357959278631,5.0
31.0,14.22517281914212,13.647357959278631,5.0
32.0,14.295470734866162,13.647357959278631,5.0
33.0,14.365422960892623,13.647357959278631,5.0
34.0,14.43503455553361,13.647357959278631,5.0
35.0,14.504310454815517,13.647357959278631,5.0
36.0,14.573255476580961,13.647357959278631,5.0
37.0,14.641874324415406,13.647357959278631,5.0
38.0,14.71017159140755,13.647357959278631,5.0
39.0,14.782421845289681,13.647357959278631,5.0
40.0,14.859206549304384,13.647357959278631,5.0
41.0,14.940761953087534,13.647357959278631,5.0
42.0,15.02733076382624,13.647357959278631,5.0
43.0,15.119161630281212,13.647357959278631,5.0
44.0,15.216508540579122,13.647357959278631,5.0
45.0,15.319630132310623,13.647357959278631,5.0
46.0,15.42878891477398,13.647357959278631,5.0
47.0,15.544250404676763,13.647357959278631,5.0
48.0,15.666282178227414,13.647357959278631,5.0
49.0,15.795152844284651,13.647357959278631,5.0
50.0,15.931130945046315,13.647357959278631,5.0
51.0,16.074483792602802,13.647357959278631,5.0
52.0,16.225476251498502,13.647357959278631,5.0
53.0,16.384369479176904,13.647357959278631,5.0
54.0,16.551419637767186,13.647357959278631,5.0
55.0,16.72687659203726,13.647357959278631,5.0
56.0,16.910982609428732,13.647357959278631,5.0
57.0,17.103971078846854,13.647357959278631,5.0
58.0,17.306065265257352,13.647357959278631,5.0
59.0,17.517477117108143,13.647357959278631,5.0
60.0,17.738406143129236,13.647357959278631,5.0
61.0,17.96903837416738,13.647357959278631,5.0
62.0,18.209545424400055,13.647357959278631,5.0
63.0,18.46008366458085,13.647357959278631,5.0
64.0,18.720793517946053,13.647357959278631,5.0
65.0,16.614391687014326,18.987876213730658,5.0
66.0,16.6858202584429,18.987876213730658,5.0
67.0,16.75480266145431,18.987876213730658,5.0
68.0,16.821442466094137,18.987876213730658,5.0
69.0,16.88583747121939,18.987876213730658,5.0
70.0,16.948080127116498,18.987876213730658,5.0
71.0,17.008257919270978,18.987876213730658,5.0
72.0,17.06705288844104,18.987876213730658,5.0
73.0,17.125645312483815,18.987876213730658,5.0
74.0,17.184037272713837,18.987876213730658,5.0
75.0,17.242230815018814,18.987876213730658,5.0
76.0,17.300227950698552,18.987876213730658,5.0
77.0,17.358030657278476,18.987876213730658,5.0
78.0,17.41564087929872,18.987876213730658,5.0
79.0,17.473060529079664,18.987876213730658,5.0
80.0,17.53029148746476,18.987876213730658,5.0
81.0,17.58733560454148,18.987876213730658,5.0
82.0,17.644194700341174,18.987876213730658,5.0
83.0,17.700870565518557,18.987876213730658,5.0
84.0,17.757364962011575,18.987876213730658,5.0
85.0,17.81367962368234,18.987876213730658,5.0
86.0,17.86981625693977,18.987876213730658,5.0
87.0,17.92577654134458,18.987876213730658,5.0
88.0,17.981562130197233,18.987876213730658,5.0
89.0,18.037174651109453,18.987876213730658,5.0
90.0,18.092615706559812,18.987876213730658,5.0
91.0,18.147886874433976,18.987876213730658,5.0
92.0,18.202989708550092,18.987876213730658,5.0
93.0,18.25792573916985,18.987876213730658,5.0
94.0,18.312696473495635,18.987876213730658,5.0
95.0,18.367303396154313,18.987876213730658,5.0
96.0,18.421747969667994,18.987876213730658,5.0
97.0,18.476031634912275,18.987876213730658,5.0
98.0,18.53015581156233,18.987876213730658,5.0
99.0,18.584121898527236,18.987876213730658,5.0
100.0,18.637931274372928,18.987876213730658,5.0
101.0,18.691585297734147,18.987876213730658,5.0
102.0,18.74508530771571,18.987876213730658,5.0
103.0,18.79843262428345,18.987876213730658,5.0
104.0,18.851628548645156,18.987876213730658,5.0
105.0,18.904674363621808,18.987876213730658,5.0
106.0,18.957571334009423,18.987876213730658,5.0
107.0,19.010320706931786,18.987876213730658,5.0
108.0,19.062923712184368,18.987876213730658,5.0
109.0,19.11538156256966,18.987876213730658,5.0
110.0,19.167695454224226,18.987876213730658,5.0
111.0,19.219866566937707,18.987876213730658,5.0
112.0,19.27189606446399,18.987876213730658,5.0
113.0,19.323785094824835,18.987876213730658,5.0
114.0,19.375534790606114,18.987876213730658,5.0
115.0,19.427146269246943,18.987876213730658,5.0
116.0,19.478620633321867,18.987876213730658,5.0
117.0,19.529958970816324,18.987876213730658,5.0
118.0,19.58116235539559,18.987876213730658,5.0
119.0,19.632231846667363,18.987876213730658,5.0
120.0,19.68316849043819,18.987876213730658,5.0
121.0,19.733973318963933,18.987876213730658,5.0
122.0,19.784647351194383,18.987876213730658,5.0
123.0,19.83519159301225,18.987876213730658,5.0
124.0,19.885607037466656,18.987876213730658,5.0
125.0,19.93589466500128,18.987876213730658,5.0
126.0,19.98605544367732,18.987876213730658,5.0
127.0,20.036090329391417,18.987876213730658,5.0
128.0,20.088406629549194,18.987876213730658,5.0
129.0,20.1431909853278,18.987876213730658,5.0
130.0,20.20054608722991,18.987876213730658,5.0
131.0,20.260577626390422,18.987876213730658,5.0
132.0,20.32339426647486,18.987876213730658,5.0
133.0,20.389107603294157,18.987876213730658,5.0
134.0,20.457832111341634,18.987876213730658,5.0
135.0,20.52968507648529,18.987876213730658,5.0
136.0,20.60478651408701,18.987876213730658,5.0
137.0,20.68325907187114,18.987876213730658,5.0
138.0,20.76522791692836,18.987876213730658,5.0
139.0,20.85082060631795,18.987876213730658,5.0
140.0,20.94016694082254,18.987876213730658,5.0
141.0,21.033398801514437,18.987876213730658,5.0
142.0,21.130649968911904,18.987876213730658,5.0
143.0,21.232055924636587,18.987876213730658,5.0
144.0,21.337753635629422,18.987876213730658,5.0
145.0,21.44788132114056,18.987876213730658,5.0
146.0,21.56257820287802,18.987876213730658,5.0
147.0,18.971736209018335,21.681984238878098,5.0
148.0,19.043164780446908,21.681984238878098,5.0
149.0,19.112449993510356,21.681984238878098,5.0
150.0,19.179671470773613,21.681984238878098,5.0
151.0,19.244904933503086,21.681984238878098,5.0
152.0,19.30822245348554,21.681984238878098,5.0
153.0,19.36969268439652,21.681984238878098,5.0
154.0,19.429381074712186,21.681984238878098,5.0
155.0,19.487350063932787,21.681984238878098,5.0
156.0,19.543659263689175,21.681984238878098,5.0
157.0,19.598365625131983,21.681984238878098,5.0
158.0,19.65152359385245,21.681984238878098,5.0
159.0,19.70318525345173,21.681984238878098,5.0
160.0,19.75393846858606,21.681984238878098,5.0
161.0,19.804561284972284,21.681984238878098,5.0
162.0,19.855054703413156,21.681984238878098,5.0
163.0,19.90541971196829,21.681984238878098,5.0
164.0,19.955657286180237,21.681984238878098,5.0
