round,cwnd,wlast_max,wctp,epoch_start,origin_point,dMin,ack_cnt
1.0,11.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
2.0,12.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
3.0,13.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
4.0,14.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
5.0,15.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
6.0,16.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
7.0,17.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
8.0,18.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
9.0,19.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
10.0,20.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
11.0,21.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
12.0,22.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
13.0,23.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
14.0,24.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
15.0,25.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
16.0,26.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
17.0,27.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
18.0,28.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
19.0,29.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
20.0,30.0,30.0,0.0,0.0,0.0,0.02850907265591396,0.0
21.0,30.0,30.0,30.011111111111113,1730579065.0232186,30.0,0.02850907265591396,0.0
22.0,30.0,30.0,30.022222222222226,1730579065.0232186,30.0,0.02850907265591396,0.0
23.0,30.0,30.0,30.03333333333334,1730579065.0232186,30.0,0.02850907265591396,0.0
24.0,30.0,30.0,30.04444444444445,1730579065.0232186,30.0,0.02850907265591396,0.0
25.0,30.0,30.0,30.055555555555564,1730579065.0232186,30.0,0.02850907265591396,0.0
26.0,30.0,30.0,30.066666666666677,1730579065.0232186,30.0,0.02850907265591396,0.0
27.0,30.0,30.0,30.07777777777779,1730579065.0232186,30.0,0.02850907265591396,0.0
28.0,30.0,30.0,30.088888888888903,1730579065.0232186,30.0,0.02850907265591396,0.0
29.0,30.0,30.0,30.100000000000016,1730579065.0232186,30.0,0.02850907265591396,0.0
30.0,30.0,30.0,30.11111111111113,1730579065.0232186,30.0,0.02850907265591396,0.0
31.0,30.0,30.0,30.12222222222224,1730579065.0232186,30.0,0.02850907265591396,0.0
32.0,30.0,30.0,30.133333333333354,1730579065.0232186,30.0,0.02850907265591396,0.0
33.0,30.0,30.0,30.144444444444467,1730579065.0232186,30.0,0.02850907265591396,0.0
34.0,30.0,30.0,30.15555555555558,1730579065.0232186,30.0,0.02850907265591396,0.0
35.0,30.0,30.0,30.166666666666693,1730579065.0232186,30.0,0.02850907265591396,0.0
36.0,30.0,30.0,30.177777777777806,1730579065.0232186,30.0,0.02850907265591396,0.0
37.0,30.0,30.0,30.18888888888892,1730579065.0232186,30.0,0.02850907265591396,0.0
38.0,30.0,30.0,30.20000000000003,1730579065.0232186,30.0,0.02850907265591396,0.0
39.0,30.0,30.0,30.211111111111144,1730579065.0232186,30.0,0.02850907265591396,0.0
40.0,30.0,30.0,30.222222222222257,1730579065.0232186,30.0,0.02850907265591396,0.0
41.0,30.0,30.0,30.23333333333337,1730579065.0232186,30.0,0.02850907265591396,0.0
